age,healthy_eating,active_lifestyle,Gender,salary
36,5,5,1,2297
55,3,5,1,1134
61,8,1,1,4969
29,3,6,1,902
34,6,2,1,3574
42,5,3,0,2761
53,4,6,0,1484
41,8,6,1,3809
47,5,6,1,2065
31,4,8,0,1020
47,6,9,0,1950
40,7,1,1,4387
41,3,2,0,1830
46,6,8,0,2182
51,7,5,1,3460
57,3,8,0,662
33,3,5,1,1134
41,4,8,0,1020
46,2,6,0,779
32,7,6,1,3228
57,7,6,1,3228
26,1,6,1,1360
59,7,5,0,3460
55,6,4,0,3110
51,5,8,0,1601
63,6,7,0,2414
62,9,6,1,4390
37,3,5,0,1134
63,6,7,0,2414
20,8,6,1,3809
63,4,7,1,1252
54,7,8,1,2764
58,3,8,1,662
18,4,6,0,1484
29,5,7,1,1833
61,2,4,1,785
51,5,5,1,2297
22,3,5,0,1134
36,3,7,0,670
62,2,6,0,779
54,6,8,0,2182
55,5,3,0,2761
55,6,7,0,2414
42,4,10,0,556
41,6,6,0,2646
43,5,8,0,1601
24,4,3,1,2179
44,4,6,0,1484
42,5,6,0,2065
54,6,9,1,1950
34,3,6,1,902
32,5,8,1,1601
28,7,2,0,4155
18,2,4,1,785
64,3,7,1,670
44,6,5,1,2878
56,5,5,0,2297
54,6,1,1,3806
23,9,6,1,4390
42,8,3,1,4505
64,7,10,1,2300
57,3,5,0,1134
20,5,5,0,2297
37,5,3,1,2761
45,7,4,1,3691
45,6,6,0,2646
27,3,4,0,1366
43,6,3,0,3342
20,5,7,0,1833
28,8,5,1,4041
60,3,2,1,1830
34,4,4,0,1948
21,5,1,1,3225
50,5,7,0,1833
31,6,7,0,2414
26,8,6,1,3809
59,4,5,1,1716
21,7,7,1,2996
61,6,8,1,2182
47,6,8,0,2182
30,3,2,1,1830
19,5,2,0,2993
56,6,6,1,2646
49,9,6,1,4390
39,3,4,1,1366
64,7,6,1,3228
53,6,5,1,2878
28,6,6,0,2646
62,5,7,1,1833
57,3,7,1,670
55,1,9,0,2056
25,4,6,0,1484
31,8,1,0,4969
34,7,6,0,3228
47,5,8,1,1601
40,3,3,0,1598
32,8,1,1,4969
32,6,6,1,2646
56,6,8,0,2182
19,4,6,0,1484
45,4,6,0,1484
60,5,7,0,1833
37,4,6,0,1484
36,3,8,0,662
59,6,7,1,2414
48,9,5,0,4622
56,6,5,1,2878
52,6,9,0,1950
25,6,5,0,2878
51,3,5,1,1134
30,4,7,1,1252
46,5,5,0,2297
45,6,8,1,2182
44,3,3,0,1598
49,7,6,0,3228
50,2,7,1,1011
26,5,3,1,2761
30,3,6,0,902
21,4,8,0,1020
48,8,9,0,3113
37,6,5,0,2878
28,7,6,0,3228
29,5,1,0,3225
28,5,4,1,2529
64,3,9,1,894
44,4,8,1,1020
63,3,7,1,670
37,9,7,0,4158
18,3,3,1,1598
60,6,5,0,2878
22,6,8,0,2182
62,6,7,1,2414
58,1,5,1,1128
41,0,8,0,2406
19,6,5,1,2878
21,2,3,0,1017
43,5,4,1,2529
53,4,10,0,556
43,2,9,0,1475
32,6,8,1,2182
43,4,2,1,2411
26,7,7,1,2996
38,6,5,0,2878
62,1,2,1,667
33,4,5,0,1716
29,6,4,1,3110
46,7,4,1,3691
39,6,3,0,3342
44,5,6,0,2065
41,6,6,0,2646
49,5,4,1,2529
58,1,6,0,1360
55,7,3,0,3923
54,6,5,0,2878
51,4,7,0,1252
34,6,9,0,1950
19,5,6,1,2065
51,7,5,0,3460
44,6,9,1,1950
30,7,6,1,3228
32,4,5,0,1716
52,2,6,1,779
33,7,6,1,3228
25,7,6,1,3228
36,3,9,1,894
27,7,3,0,3923
59,6,8,0,2182
38,3,8,1,662
54,8,5,1,4041
58,5,5,1,2297
63,5,2,1,2993
50,3,6,1,902
32,2,6,1,779
58,9,5,1,4622
21,3,6,0,902
39,3,6,1,902
21,6,6,1,2646
31,2,9,0,1475
44,3,6,1,902
49,7,9,0,2532
35,3,6,0,902
30,7,8,0,2764
49,8,5,1,4041
61,4,7,0,1252
31,5,6,0,2065
38,8,5,1,4041
22,5,5,1,2297
23,3,8,0,662
48,8,6,0,3809
34,4,6,1,1484
33,6,8,1,2182
43,7,5,1,3460
43,3,6,1,902
36,4,5,0,1716
34,4,5,1,1716
56,5,7,1,1833
18,3,4,0,1366
51,8,6,1,3809
34,3,6,0,902
50,4,3,0,2179
18,4,5,1,1716
44,7,8,1,2764
46,5,3,1,2761
35,10,8,1,4508
55,7,8,0,2764
31,3,6,1,902
20,6,2,0,3574
58,9,6,1,4390
23,9,3,1,5086
37,6,7,0,2414
39,4,6,0,1484
22,8,8,0,3345
22,9,2,1,5318
50,6,6,0,2646
25,3,1,1,2062
61,9,9,1,3694
18,4,8,1,1020
53,4,8,1,1020
37,0,4,0,1478
38,5,8,0,1601
50,4,4,1,1948
59,5,2,0,2993
23,3,4,1,1366
32,7,6,0,3228
40,8,9,1,3113
47,4,5,1,1716
26,3,6,1,902
24,5,3,1,2761
54,7,6,1,3228
41,6,7,1,2414
58,2,7,1,1011
50,7,7,1,2996
29,3,7,0,670
55,3,4,1,1366
64,5,5,1,2297
23,4,5,0,1716
55,5,6,0,2065
49,4,4,0,1948
40,2,9,0,1475
50,7,6,1,3228
63,1,8,0,1824
43,3,3,1,1598
48,4,1,1,2643
30,3,3,0,1598
63,4,9,1,788
64,6,6,0,2646
59,1,2,0,667
33,3,3,0,1598
62,4,3,0,2179
60,3,7,1,670
60,5,3,1,2761
35,8,6,0,3809
24,5,3,1,2761
29,4,6,0,1484
18,4,5,0,1716
25,7,3,1,3923
57,4,5,1,1716
28,6,2,0,3574
44,6,2,1,3574
53,6,6,0,2646
63,6,8,1,2182
44,4,5,0,1716
58,5,9,1,1369
20,3,9,0,894
24,3,1,1,2062
25,5,6,0,2065
46,8,6,0,3809
57,4,3,1,2179
57,4,7,1,1252
36,7,3,0,3923
51,10,4,1,5435
59,3,4,1,1366
21,6,6,0,2646
41,9,4,0,4854
33,9,3,1,5086
57,7,6,0,3228
47,3,6,0,902
41,5,7,0,1833
58,5,9,0,1369
50,4,9,0,788
54,6,4,0,3110
52,5,6,1,2065
54,6,2,1,3574
35,7,3,1,3923
18,2,4,0,785
45,6,8,0,2182
58,6,7,0,2414
25,4,1,1,2643
19,5,5,0,2297
27,4,4,0,1948
43,6,6,1,2646
23,6,4,1,3110
39,4,7,1,1252
41,9,6,1,4390
37,8,5,1,4041
52,2,10,0,1707
52,4,4,1,1948
44,4,1,1,2643
33,1,9,0,2056
43,4,8,1,1020
19,5,4,0,2529
21,5,4,1,2529
37,4,5,0,1716
46,3,7,1,670
50,4,7,0,1252
37,3,6,0,902
30,5,8,0,1601
37,4,5,1,1716
49,6,4,1,3110
19,6,7,1,2414
42,9,7,1,4158
62,3,10,0,1126
42,8,3,1,4505
21,5,9,1,1369
25,1,4,1,896
33,3,3,0,1598
20,4,3,1,2179
59,7,7,0,2996
62,4,8,1,1020
22,5,3,0,2761
40,8,9,0,3113
50,7,6,1,3228
62,3,8,1,662
33,5,9,0,1369
23,8,8,1,3345
51,5,7,0,1833
36,5,9,0,1369
61,4,5,0,1716
60,4,7,1,1252
56,2,7,1,1011
58,6,6,0,2646
20,0,5,0,1710
60,6,4,0,3110
46,4,7,1,1252
55,4,7,1,1252
61,9,5,0,4622
28,6,5,1,2878
44,8,4,1,4273
54,5,7,1,1833
35,10,9,1,4276
62,0,5,1,1710
28,7,4,1,3691
42,4,7,0,1252
53,2,5,1,553
25,5,7,0,1833
57,5,3,0,2761
60,5,8,1,1601
34,3,5,1,1134
19,5,6,1,2065
49,7,5,1,3460
35,5,6,1,2065
55,5,0,0,3457
63,3,5,0,1134
46,7,7,0,2996
55,5,6,1,2065
29,3,5,0,1134
28,4,4,1,1948
46,1,7,1,1592
58,7,6,1,3228
28,3,6,1,902
31,4,7,1,1252
56,5,3,1,2761
43,5,10,0,1137
26,4,3,0,2179
46,1,4,0,896
41,5,7,1,1833
50,5,7,0,1833
58,4,3,1,2179
56,5,5,0,2297
49,7,6,1,3228
20,8,6,1,3809
31,2,4,1,785
61,5,10,1,1137
54,6,5,1,2878
23,7,8,0,2764
53,5,7,0,1833
62,3,6,1,902
47,3,8,1,662
43,2,3,0,1017
30,4,5,0,1716
36,7,3,1,3923
48,6,5,1,2878
61,6,7,1,2414
45,3,9,0,894
33,4,7,1,1252
31,5,7,0,1833
20,3,5,1,1134
55,5,5,1,2297
24,6,5,1,2878
46,6,5,1,2878
52,7,1,0,4387
56,3,7,1,670
62,4,7,0,1252
58,2,6,1,779
42,6,7,1,2414
53,7,3,0,3923
18,8,9,0,3113
62,8,7,0,3577
38,6,4,0,3110
60,3,5,1,1134
49,7,8,1,2764
18,5,8,0,1601
28,6,5,0,2878
22,6,7,0,2414
27,7,5,1,3460
42,3,5,0,1134
31,6,5,0,2878
19,6,2,1,3574
25,2,5,1,553
18,4,8,1,1020
34,3,3,1,1598
44,6,8,1,2182
42,7,3,1,3923
46,6,8,1,2182
35,5,8,1,1601
53,1,10,0,2288
30,2,5,0,553
60,4,3,1,2179
22,3,3,1,1598
58,6,9,0,1950
47,5,4,0,2529
33,3,6,0,902
64,4,7,0,1252
47,2,5,1,553
56,3,0,0,2294
30,3,6,1,902
43,8,8,0,3345
32,7,4,0,3691
31,5,6,1,2065
48,6,7,0,2414
23,4,3,1,2179
21,4,6,0,1484
51,4,9,1,788
18,6,4,0,3110
34,5,4,1,2529
41,7,5,1,3460
24,3,6,1,902
51,6,7,1,2414
56,4,5,1,1716
56,4,7,1,1252
46,3,5,0,1134
24,2,2,0,1249
63,5,2,0,2993
64,6,8,1,2182
45,1,8,1,1824
57,4,5,1,1716
36,6,7,1,2414
54,3,4,1,1366
61,2,5,0,553
50,6,7,0,2414
28,6,7,0,2414
62,7,3,1,3923
24,5,7,0,1833
53,6,3,1,3342
30,2,3,0,1017
29,5,8,1,1601
18,8,9,0,3113
58,2,1,1,1481
55,0,4,0,1478
32,6,3,0,3342
60,5,9,1,1369
22,3,6,0,902
27,4,5,1,1716
39,6,7,0,2414
23,2,7,0,1011
21,6,6,0,2646
51,7,6,0,3228
34,6,5,1,2878
35,2,5,0,553
54,5,5,1,2297
63,3,7,1,670
39,3,5,1,1134
19,7,6,1,3228
59,5,7,0,1833
38,5,5,1,2297
18,8,6,1,3809
49,1,7,1,1592
26,8,6,0,3809
56,6,4,0,3110
52,3,5,0,1134
23,4,4,0,1948
48,6,6,1,2646
21,8,5,0,4041
45,3,6,0,902
32,6,2,0,3574
19,4,3,1,2179
31,2,4,0,785
58,3,1,0,2062
35,8,8,1,3345
34,3,4,1,1366
24,7,1,0,4387
54,8,6,1,3809
44,6,9,0,1950
59,3,6,0,902
61,7,4,1,3691
33,7,7,1,2996
47,4,2,1,2411
50,4,7,0,1252
35,6,8,1,2182
62,6,8,1,2182
38,7,3,0,3923
45,7,6,0,3228
21,7,6,0,3228
29,7,6,0,3228
42,5,4,0,2529
47,5,5,1,2297
53,2,8,1,1243
42,4,2,0,2411
64,3,7,0,670
29,4,1,0,2643
22,8,8,1,3345
23,4,3,0,2179
48,4,6,0,1484
37,0,4,0,1478
30,6,0,1,4038
23,4,2,1,2411
32,8,8,1,3345
34,3,7,0,670
41,8,8,1,3345
21,4,5,1,1716
57,7,6,1,3228
42,7,4,1,3691
51,2,4,0,785
43,8,7,1,3577
47,4,5,1,1716
33,9,6,0,4390
40,10,6,1,4972
43,3,7,0,670
62,3,6,0,902
22,2,9,0,1475
19,5,6,1,2065
34,7,7,1,2996
30,7,3,1,3923
19,5,4,1,2529
63,5,10,1,1137
24,7,4,1,3691
48,4,7,0,1252
53,7,5,0,3460
53,8,7,1,3577
58,5,3,0,2761
55,1,5,0,1128
50,4,8,1,1020
37,4,8,1,1020
27,6,6,1,2646
51,4,7,1,1252
27,5,5,0,2297
22,3,5,0,1134
18,8,7,1,3577
44,5,9,1,1369
62,6,6,0,2646
49,4,6,1,1484
43,5,4,1,2529
22,6,6,1,2646
27,3,5,0,1134
22,3,10,0,1126
55,4,7,0,1252
27,3,4,0,1366
30,5,5,0,2297
46,6,8,1,2182
18,6,6,0,2646
57,8,5,0,4041
29,5,6,1,2065
19,6,1,0,3806
35,5,6,1,2065
44,4,7,1,1252
38,5,4,1,2529
37,6,10,0,1718
39,8,6,0,3809
47,4,5,0,1716
42,6,2,1,3574
52,5,5,0,2297
28,3,3,0,1598
33,0,7,0,2174
20,5,5,1,2297
23,2,5,0,553
21,3,3,0,1598
33,6,5,1,2878
28,4,6,1,1484
18,2,3,1,1017
54,4,9,0,788
50,6,5,0,2878
50,5,1,0,3225
48,4,8,0,1020
34,6,5,1,2878
37,8,7,0,3577
27,4,8,1,1020
22,8,10,0,2881
51,4,9,0,788
26,4,5,1,1716
30,8,3,0,4505
45,6,5,0,2878
58,2,6,1,779
55,4,4,1,1948
24,7,6,1,3228
62,7,6,0,3228
45,5,6,0,2065
51,7,6,0,3228
49,5,7,0,1833
64,5,6,0,2065
55,4,4,0,1948
20,4,6,0,1484
20,4,6,0,1484
31,5,6,0,2065
23,7,6,0,3228
31,5,6,1,2065
28,1,5,1,1128
51,0,7,1,2174
44,9,1,1,5550
30,3,4,0,1366
63,8,7,1,3577
45,3,6,1,902
43,2,5,0,553
53,2,9,1,1475
42,3,5,0,1134
62,6,0,0,4038
54,5,8,0,1601
46,4,7,1,1252
25,4,7,0,1252
62,5,9,0,1369
30,4,8,0,1020
32,4,5,1,1716
30,4,6,1,1484
51,5,7,1,1833
46,3,5,1,1134
34,4,2,1,2411
37,0,8,0,2406
59,3,3,0,1598
51,2,7,1,1011
29,3,5,0,1134
38,4,4,1,1948
57,4,0,0,2875
38,7,3,0,3923
31,4,5,0,1716
31,7,7,1,2996
32,8,5,1,4041
34,2,8,0,1243
41,7,6,1,3228
54,8,9,1,3113
58,5,9,0,1369
19,2,4,1,785
54,0,5,0,1710
44,4,8,0,1020
42,6,6,0,2646
37,6,7,1,2414
42,2,7,1,1011
29,6,6,1,2646
41,7,7,0,2996
40,1,5,1,1128
43,8,4,1,4273
58,4,3,0,2179
60,2,4,1,785
30,0,6,1,1942
62,7,3,0,3923
55,3,6,1,902
19,4,7,0,1252
52,4,2,1,2411
40,6,0,1,4038
20,2,6,0,779
26,5,4,1,2529
29,6,3,1,3342
51,7,7,1,2996
38,4,1,1,2643
59,9,5,1,4622
55,4,4,0,1948
48,6,7,1,2414
53,2,4,0,785
57,5,5,0,2297
25,8,6,1,3809
28,3,6,1,902
62,7,8,0,2764
37,10,6,1,4972
37,8,7,0,3577
50,5,7,0,1833
49,7,6,1,3228
46,8,4,1,4273
52,5,7,0,1833
30,3,5,0,1134
50,7,7,1,2996
51,5,8,0,1601
50,5,6,0,2065
41,5,7,1,1833
30,5,9,1,1369
34,2,3,0,1017
22,4,4,0,1948
19,5,2,1,2993
62,3,7,0,670
29,4,3,0,2179
33,6,6,0,2646
19,6,6,0,2646
40,7,5,0,3460
44,3,5,0,1134
61,4,8,1,1020
28,3,6,0,902
60,5,9,1,1369
34,4,7,0,1252
45,6,6,0,2646
62,5,5,1,2297
32,6,9,0,1950
48,3,6,0,902
41,2,6,0,779
29,3,4,0,1366
64,6,5,1,2878
30,5,6,1,2065
61,5,7,0,1833
57,4,1,0,2643
26,5,5,0,2297
64,2,3,0,1017
25,7,3,1,3923
26,5,4,1,2529
42,2,4,1,785
61,7,6,0,3228
25,5,4,1,2529
28,4,4,1,1948
23,6,7,1,2414
52,8,5,1,4041
46,5,8,0,1601
54,7,6,0,3228
63,1,3,1,665
32,5,6,0,2065
54,3,7,0,670
50,5,8,0,1601
62,2,5,0,553
36,5,9,1,1369
33,5,5,0,2297
32,7,5,0,3460
60,5,9,0,1369
26,4,1,0,2643
54,3,7,0,670
51,2,8,0,1243
46,5,8,0,1601
49,7,10,0,2300
48,2,8,0,1243
28,6,4,1,3110
36,5,7,0,1833
33,8,8,0,3345
37,7,7,1,2996
28,6,3,1,3342
22,8,4,0,4273
24,5,9,0,1369
27,6,6,0,2646
20,8,5,1,4041
40,5,6,0,2065
33,9,4,1,4854
53,5,4,1,2529
63,5,7,1,1833
33,3,6,1,902
38,6,6,0,2646
28,5,3,0,2761
52,1,6,1,1360
56,7,8,0,2764
35,6,7,1,2414
35,3,8,1,662
48,7,7,1,2996
41,5,7,0,1833
21,5,5,0,2297
39,6,5,0,2878
47,3,7,1,670
35,6,9,0,1950
41,4,9,0,788
41,0,7,0,2174
57,7,7,1,2996
21,2,4,0,785
24,5,5,0,2297
49,6,10,1,1718
53,4,5,1,1716
52,7,4,0,3691
60,4,7,1,1252
25,5,6,1,2065
49,4,8,1,1020
39,5,4,1,2529
23,8,5,1,4041
37,7,9,0,2532
31,5,8,1,1601
29,8,8,1,3345
61,3,6,0,902
52,6,9,1,1950
34,5,7,1,1833
26,1,6,0,1360
20,3,6,1,902
59,4,7,1,1252
35,7,3,0,3923
37,6,6,1,2646
18,5,7,0,1833
35,5,9,1,1369
60,4,7,0,1252
31,3,4,1,1366
25,3,4,0,1366
39,5,7,1,1833
50,6,7,0,2414
40,2,6,0,779
58,8,8,1,3345
18,7,3,0,3923
40,6,6,0,2646
40,4,6,1,1484
42,5,6,1,2065
42,6,5,1,2878
25,6,5,0,2878
53,6,8,0,2182
40,6,7,1,2414
62,7,3,1,3923
35,8,4,1,4273
62,4,6,1,1484
38,5,6,0,2065
50,8,8,0,3345
51,7,5,0,3460
28,6,6,0,2646
58,6,6,0,2646
18,8,3,1,4505
44,5,6,0,2065
37,8,8,1,3345
51,5,6,1,2065
27,4,8,0,1020
50,2,6,1,779
62,6,4,1,3110
36,4,6,0,1484
33,7,4,1,3691
60,3,6,1,902
35,5,6,1,2065
45,8,8,1,3345
61,6,7,0,2414
60,6,7,1,2414
46,6,3,1,3342
61,8,5,0,4041
34,7,5,0,3460
28,2,8,0,1243
47,5,3,0,2761
32,4,9,0,788
27,3,4,1,1366
28,5,9,1,1369
51,6,6,0,2646
62,7,10,1,2300
41,0,4,1,1478
47,4,8,1,1020
52,8,8,0,3345
61,7,6,1,3228
39,7,5,1,3460
41,4,1,1,2643
40,4,8,1,1020
63,4,7,0,1252
27,5,5,1,2297
31,6,8,0,2182
33,6,6,1,2646
61,4,7,1,1252
41,5,6,1,2065
18,1,5,1,1128
46,3,9,1,894
32,3,9,1,894
32,9,7,1,4158
58,5,7,0,1833
59,7,8,0,2764
45,4,8,1,1020
36,4,1,1,2643
42,3,5,0,1134
54,3,5,0,1134
26,8,3,1,4505
35,9,7,1,4158
22,6,3,1,3342
43,3,5,0,1134
44,3,5,0,1134
41,3,8,1,662
30,5,2,1,2993
33,5,8,0,1601
63,6,7,1,2414
47,6,9,0,1950
22,5,2,1,2993
48,4,5,0,1716
57,6,6,1,2646
55,5,7,0,1833
47,3,3,1,1598
42,5,4,1,2529
40,4,4,0,1948
21,5,3,0,2761
19,4,4,0,1948
18,0,3,1,1246
36,2,2,1,1249
48,2,6,1,779
42,6,2,1,3574
30,3,8,0,662
32,1,7,0,1592
30,6,2,1,3574
30,10,4,1,5435
44,6,5,1,2878
30,2,4,0,785
47,8,8,1,3345
28,4,6,1,1484
33,7,6,0,3228
34,7,5,0,3460
26,2,8,1,1243
39,3,8,1,662
25,6,6,0,2646
44,6,9,1,1950
55,4,6,1,1484
18,1,6,0,1360
49,6,7,1,2414
57,4,5,0,1716
30,9,5,0,4622
33,5,3,1,2761
59,5,4,1,2529
48,1,9,1,2056
42,7,9,0,2532
39,6,6,0,2646
50,7,3,0,3923
31,2,3,0,1017
28,8,7,1,3577
56,6,5,1,2878
46,8,7,0,3577
38,3,4,1,1366
35,4,7,0,1252
25,2,5,0,553
35,3,6,1,902
21,2,5,0,553
59,6,6,0,2646
24,5,3,0,2761
64,6,5,1,2878
19,5,1,1,3225
45,9,6,0,4390
19,4,6,1,1484
38,4,7,1,1252
25,9,6,0,4390
26,4,6,0,1484
64,5,4,0,2529
43,3,7,0,670
22,4,4,1,1948
32,7,6,1,3228
57,3,8,0,662
57,2,7,0,1011
34,4,3,0,2179
56,2,5,0,553
44,6,6,1,2646
26,7,8,0,2764
58,4,6,1,1484
39,6,5,1,2878
25,6,6,1,2646
59,7,4,1,3691
24,8,8,1,3345
48,6,7,0,2414
49,4,7,0,1252
25,7,6,0,3228
26,2,4,0,785
54,6,7,1,2414
24,6,7,0,2414
54,7,4,0,3691
41,6,3,0,3342
54,3,8,1,662
46,2,8,0,1243
56,5,7,0,1833
18,2,6,1,779
26,10,4,0,5435
31,6,5,1,2878
55,4,6,1,1484
45,4,9,1,788
59,7,7,0,2996
36,4,5,0,1716
19,10,8,0,4508
60,8,6,1,3809
31,5,7,0,1833
23,6,2,1,3574
39,5,4,0,2529
55,2,7,1,1011
29,6,0,1,4038
57,2,6,0,779
38,3,3,0,1598
46,7,5,0,3460
54,4,3,0,2179
61,5,6,1,2065
43,7,8,0,2764
32,8,5,0,4041
62,4,7,0,1252
39,4,6,1,1484
45,4,7,0,1252
36,4,8,0,1020
33,2,8,1,1243
56,6,3,0,3342
47,3,6,1,902
64,10,5,1,5204
43,4,6,1,1484
20,6,4,0,3110
59,2,6,1,779
61,3,6,1,902
18,7,8,1,2764
58,5,5,0,2297
31,5,9,0,1369
50,9,5,1,4622
29,5,6,1,2065
32,3,9,0,894
52,4,3,0,2179
27,6,7,0,2414
50,5,5,0,2297
60,4,6,1,1484
44,3,5,1,1134
20,3,4,1,1366
38,8,6,1,3809
30,6,3,1,3342
56,5,5,0,2297
52,5,7,0,1833
33,7,7,0,2996
21,1,2,1,667
49,9,7,1,4158
56,6,7,0,2414
64,4,9,0,788